date,product_line,width,height,length_gusset,ship_via,skus,total_quantity,price,material_front_id,material_back_id,num_colors,printing_method,zipper_type,options,customer,salesperson,project,Factory,terms_conditions,item_#,cfmd_skus
Nov 06 2024,Slide Safe CR Boxes,1.89,0.87,3.74,Sea,5,10000,1.085,3598163000037650071,3598163000037650071,5,Digital,N/A - N/A,Custom Plastic Insert  (Tray + Lid),Mfused,Steve Annunziato,Mfused - CR Boxes - 2 SKUs - Nov 2024,China Boxes 2,DDP Cust Whse,QRE-07747-03-1.89x0.87x3.74-SEA,
Jun 26 2024,Slide Safe CR Boxes,1.89,0.87,3.74,Sea,1,10000,1.05,3598163000020543723,3598163000020543723,5,Digital,None - None,Paper Insert,Omega Store (Wasserstrom Corporation),Jordan Weiser,Small Slide Safe Omega,China Boxes,"DDP Cust Whse
CR Box w/ Accordion Paper Insert ",QRE-07064-02-1.89x0.87x3.74-SEA,
Jun 26 2024,Slide Safe CR Boxes,1.89,0.87,3.74,Air,1,10000,1.199,3598163000020543723,3598163000020543723,5,Digital,None - None,Paper Insert,Omega Store (Wasserstrom Corporation),Jordan Weiser,Small Slide Safe Omega,China Boxes,"DDP Cust Whse
CR Box w/ Accordion Paper Insert ",QRE-07064-02-1.89x0.87x3.74-AIR,
Jun 24 2024,Slide Safe CR Boxes,1.89,0.87,3.74,Air,1,10000,1.199,3598163000020543723,3598163000020543723,5,Digital,None - None,Paper Insert,Omega Store (Wasserstrom Corporation),Jordan Weiser,Small Slide Safe Omega,China Boxes,"DDP Cust Whse
CR Box with the accordion paper Insert placed inside.",QRE-06994-02-1.89x0.87x3.74-AIR,
Jun 24 2024,Slide Safe CR Boxes,1.89,0.87,3.74,Sea,1,10000,1.05,3598163000020543723,3598163000020543723,5,Digital,None - None,Paper Insert,Omega Store (Wasserstrom Corporation),Jordan Weiser,Small Slide Safe Omega,China Boxes,"DDP Cust Whse
CR Box with the accordion paper Insert placed inside.",QRE-06994-02-1.89x0.87x3.74-SEA,
May 23 2024,Slide Safe CR Boxes,1.89,0.87,3.74,Sea,1,10000,1.269,3598163000020543723,3598163000020543723,4,Digital,None - None,Spot UV,Holy Grail Cannabis,Ryan Holmes,Holy Grail Disposable Box,China Boxes,"DDP Cust Whse

Quote with Paper Insert",QRE-06918-01-1.89x0.87x3.74-SEA,
May 23 2024,Slide Safe CR Boxes,1.89,0.87,3.74,Sea,1,10000,1.389,3598163000020543723,3598163000020543723,4,Digital,None - None,Spot UV,Holy Grail Cannabis,Ryan Holmes,Holy Grail Disposable Box,China Boxes,"DDP Cust Whse

With Plastic Insert",QRE-06918-01-1.89x0.87x3.74-SEA,
Jan 17 2025,Slide Safe CR Boxes,1.89,0.87,3.74,Air,1,15000,1.088,3598163000037650071,3598163000037650071,5,Digital,None - None,Foam Insert,Boojum Group,Jordan Weiser,Boojum Group Vape Boxes,China Boxes 2,DDP Cust Whse,QRE-08125-01-1.89x0.87x3.74-AIR,
Jan 17 2025,Slide Safe CR Boxes,1.89,0.87,3.74,Sea,1,15000,0.931,3598163000037650071,3598163000037650071,5,Digital,None - None,Foam Insert,Boojum Group,Jordan Weiser,Boojum Group Vape Boxes,China Boxes 2,DDP Cust Whse,QRE-08125-01-1.89x0.87x3.74-SEA,
Mar 05 2025,Slide Safe CR Boxes,1.89,0.87,3.74,Air,1,20000,1.09,3598163000037650071,3598163000037650071,5,Digital,None - None,Custom Plastic Insert (Tray Only- No Lid),Wholesome Cannabis Co.,Jordan Weiser,Wholesome Vape Slide Safe,China Boxes 2,DDP Cust Whse,QRE-08426-01-1.89x0.87x3.74-AIR,
